variable,var_long,divide_by,unit,label
elev,Elevation,1,m,Elevation (m)
slope,Slope,1,degrees,Slope (degrees)
gross_stem_volume,Gross Stem Volume,10,m^3ha^-1,Gross Stem Volume (m^3ha^-1)
basal_area,Basal Area,100,m^2ha,Basal Area (m^2ha)
percentage_first_returns_above_2m,Canopy Cover,100,%,Canopy Cover (%)
total_biomass,Aboveground Biomass,100,t/ha,Aboveground Biomass (t/ha)
percentage_first_returns_above_mean,Overstory Cover,100,%,Overstory Cover (%)
elev_cv,Structural Complexity,1000,Elevation Covariance,Structural Complexity
loreys_height,Lorey's Height,1000,m,Lorey's Height (m)
elev_mean,Mean Elevation,1000,m,Mean Elevation (m)
elev_stddev,Elevation Standard Deviation,1000,m,Elevation Standard Deviation (m)
elev_p95,Canopy Height,1000,m,Canopy Height (m)
CumDHI,Cumulative DHI,10000,NA,Cumulative DHI
MinDHI,Minimum DHI,10000,NA,Minimum DHI
VarDHI,Variation DHI,10000,NA,Variation DHI
DEM,Elevation,1,m,Elevation (m)
clim_MCMT,Mean Coldest Month Temperature,1,°C,Mean Coldest Month Temperature (°C)
clim_MWMT,Mean Warmest Month Temperature,1,°C,Mean Warmest Month Temperature (°C)
clim_MAT,Mean Annual Temperature,1,°C,Mean Annual Temperature (°C)
clim_MAP,Mean Annual Precipitation,1,mm,Mean Annual Precipitation (mm)
